
============================================================================================================================================
TABLE: CONVERGENCE SPEED - HCLPSO-OC (D=10)
Population: N=40 | Runs: 51 | MaxFE: 100000 | εtol: 5.00%
============================================================================================================================================
Function             Mean CFEs          Std CFEs      Success Rate      Mean CTs (s)       Std CTs (s)
--------------------------------------------------------------------------------------------------------------------------------------------
F1                      100000                 0               0.0%            0.0108            0.0004
F3                       61249              3450             100.0%            0.0074            0.0006
F4                       14720             13872              98.0%            0.0014            0.0018
F5                       56373             25183              84.3%            0.0102            0.0049
F6                        5025              2727             100.0%            0.0017            0.0011
F7                       36020              9701             100.0%            0.0071            0.0021
F8                       25930             12147             100.0%            0.0048            0.0025
F9                       19477              2566             100.0%            0.0037            0.0006
F10                     100000                 0               0.0%            0.0303            0.0048
F11                      23593             16880              98.0%            0.0035            0.0031
F12                     100000                 0               0.0%            0.0195            0.0006
F13                     100000                 0               0.0%            0.0197            0.0009
F14                      82198             18469              58.8%            0.0184            0.0048
F15                      97351              7261              17.6%            0.0151            0.0014
F16                      23751             10717             100.0%            0.0046            0.0023
F17                      19527              4964             100.0%            0.0067            0.0020
F18                     100000                 0               0.0%            0.0178            0.0006
F19                      84659             20033              51.0%            0.1514            0.0374
F20                      20732              8648             100.0%            0.0074            0.0032
F21                      96410             14216               7.8%            0.0367            0.0059
F22                      18205              2403             100.0%            0.0125            0.0019
F23                     100000                 0               0.0%            0.0651            0.0042
F24                      98720              9051               2.0%            0.0645            0.0079
F25                     100000                 0               0.0%            0.0560            0.0017
F26                     100000                 0               0.0%            0.0763            0.0057
F27                     100000                 0               0.0%            0.0719            0.0057
F28                     100000                 0               0.0%            0.0717            0.0107
F29                     100000                 0               0.0%            0.0681            0.0028
F30                     100000                 0               0.0%            0.1915            0.0155
--------------------------------------------------------------------------------------------------------------------------------------------
============================================================================================================================================
