
========================================================================================================================
F24 - HCLPSO-OC (D=10)
========================================================================================================================

Run                  Error           Fitness           CFEs     CTs (s)   Converged
-------------------------------------------------------------------------------------
1             3.561886e+02       2756.188623         100000      0.0640          No
2               3.5828e+02         2758.2792         100000      0.0590          No
3               3.7507e+02         2775.0742         100000      0.0600          No
4               3.5342e+02         2753.4170         100000      0.0590          No
5               3.4358e+02         2743.5758         100000      0.0620          No
6               3.5583e+02         2755.8251         100000      0.0600          No
7               3.4196e+02         2741.9560         100000      0.0600          No
8               3.5813e+02         2758.1291         100000      0.0590          No
9               3.4862e+02         2748.6247         100000      0.0570          No
10              3.6627e+02         2766.2663         100000      0.0580          No
11              3.4867e+02         2748.6749         100000      0.0600          No
12              3.6068e+02         2760.6801         100000      0.0600          No
13              3.5943e+02         2759.4303         100000      0.0600          No
14              3.5575e+02         2755.7548         100000      0.0590          No
15              3.5709e+02         2757.0909         100000      0.0590          No
16              3.5137e+02         2751.3688         100000      0.0600          No
17              3.4595e+02         2745.9501         100000      0.0580          No
18              3.6319e+02         2763.1917         100000      0.0600          No
19              3.5967e+02         2759.6731         100000      0.0590          No
20              3.6192e+02         2761.9247         100000      0.0610          No
21              3.5933e+02         2759.3294         100000      0.0570          No
22              3.4829e+02         2748.2924         100000      0.0590          No
23              3.6191e+02         2761.9064         100000      0.0590          No
24              3.4662e+02         2746.6199         100000      0.0600          No
25              3.5662e+02         2756.6192         100000      0.0610          No
26              3.5204e+02         2752.0395         100000      0.0600          No
27              3.6128e+02         2761.2825         100000      0.0580          No
28              3.4884e+02         2748.8364         100000      0.0580          No
29              3.5222e+02         2752.2234         100000      0.0590          No
30              3.5425e+02         2754.2506         100000      0.0600          No
31              3.5712e+02         2757.1241         100000      0.0600          No
32              3.5044e+02         2750.4426         100000      0.0590          No
33              3.5954e+02         2759.5445         100000      0.0590          No
34              3.5381e+02         2753.8064         100000      0.0580          No
35              3.4741e+02         2747.4135         100000      0.0600          No
36              3.6147e+02         2761.4713         100000      0.0590          No
37              3.5396e+02         2753.9584         100000      0.0600          No
38              3.4996e+02         2749.9643         100000      0.0590          No
39              3.6242e+02         2762.4160         100000      0.0570          No
40              3.6255e+02         2762.5484         100000      0.0590          No
41              3.5189e+02         2751.8894         100000      0.0580          No
42              3.5332e+02         2753.3151         100000      0.0610          No
43              3.4640e+02         2746.4005         100000      0.0600          No
44              3.4620e+02         2746.1955         100000      0.0610          No
45              3.5665e+02         2756.6496         100000      0.0600          No
46              3.5968e+02         2759.6793         100000      0.0610          No
47              3.4866e+02         2748.6572         100000      0.0590          No
48              3.5203e+02         2752.0299         100000      0.0590          No
49              3.6071e+02         2760.7097         100000      0.0600          No
50              3.5198e+02         2751.9789         100000      0.0580          No
51              3.4955e+02         2749.5517         100000      0.0610          No
-------------------------------------------------------------------------------------
