
========================================================================================================================
HCLPSO-DC Accuracy Results (D=30, Runs=51, εtol=20.000000%)
========================================================================================================================

Function                Mean               Std            Median              Best             Worst
------------------------------------------------------------------------------------------------------------------------
F1                2.6987e+07        1.9077e+08        5.2650e+03        2.6982e+03        1.3759e+09
F3                1.0888e+05        3.8181e+04        1.0193e+05        3.7946e+04        2.3681e+05
F4                1.0025e+02        2.0462e+01        9.0314e+01        8.6318e+01        1.7111e+02
F5                1.4247e+02        4.7587e+01        1.3941e+02        6.9715e+01        2.6395e+02
F6                2.6020e-01        4.4515e-01        1.0717e-01        3.5795e-04        2.3356e+00
F7                1.5431e+02        9.9416e+01        1.2089e+02        5.9557e+01        4.8386e+02
F8                1.4924e+02        3.8279e+01        1.4821e+02        6.0909e+01        2.8262e+02
F9                1.1746e+01        2.7285e+01        1.6316e+00        7.8444e-12        1.1234e+02
F10               4.3178e+03        6.5708e+02        4.2042e+03        2.9657e+03        5.9192e+03
F11               1.5046e+02        8.7020e+01        1.3799e+02        2.3465e+01        4.0708e+02
F12               1.0210e+07        2.8186e+07        1.4594e+06        4.0256e+04        1.2124e+08
F13               1.6169e+06        9.9444e+06        1.2428e+04        6.6740e+03        7.1674e+07
F14               5.2908e+04        4.0402e+04        3.5607e+04        5.6513e+03        1.5126e+05
F15               4.2182e+04        6.5801e+03        4.1606e+04        1.6348e+04        7.7291e+04
F16               9.3167e+02        2.2789e+02        8.7920e+02        4.1432e+02        1.4737e+03
F17               4.0436e+02        1.2913e+02        3.9806e+02        1.5210e+02        7.0854e+02
F18               3.5798e+05        1.8269e+05        3.0557e+05        1.2130e+05        1.1304e+06
F19               5.6011e+04        1.0498e+04        5.4596e+04        5.0954e+04        1.3016e+05
F20               4.5989e+02        1.6266e+02        4.8919e+02        1.0885e+02        7.5818e+02
F21               3.4204e+02        4.6088e+01        3.3968e+02        1.1375e+02        4.3117e+02
F22               6.7506e+02        1.5060e+03        1.0000e+02        1.0000e+02        5.4276e+03
F23               5.3189e+02        3.1100e+01        5.2991e+02        4.7557e+02        6.1821e+02
F24               6.0179e+02        3.5074e+01        6.0245e+02        5.1830e+02        6.6659e+02
F25               3.8914e+02        5.2589e+00        3.8848e+02        3.8699e+02        4.2548e+02
F26               2.7412e+03        3.5802e+02        2.6626e+03        2.1070e+03        3.6314e+03
F27               5.3546e+02        1.1669e+01        5.3457e+02        5.0774e+02        5.6547e+02
F28               1.7751e+03        1.4761e+03        6.6862e+02        4.2837e+02        3.9601e+03
F29               1.0541e+03        1.6672e+02        1.0508e+03        6.8096e+02        1.4448e+03
F30               3.1654e+04        5.5070e+04        1.8441e+04        1.2189e+04        3.9471e+05
========================================================================================================================
