Function F14 - HCLPSO-DC (D=30)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               3.265843e+04        34058.430948         300000         0.2380          No
2                 1.1516e+05         116557.0579         300000         0.2410          No
3                 9.5914e+03          10991.3858         300000         0.2370          No
4                 4.6735e+04          48134.7299         300000         0.2380          No
5                 3.9855e+04          41255.0044         300000         0.2390          No
6                 6.5933e+04          67333.4511         300000         0.2340          No
7                 2.0201e+04          21600.6241         300000         0.2330          No
8                 3.0751e+04          32151.0585         300000         0.2340          No
9                 9.5516e+04          96915.6430         300000         0.2360          No
10                1.1341e+05         114807.2374         300000         0.2360          No
11                1.7827e+05         179671.7937         300000         0.2330          No
12                7.4193e+04          75593.3692         300000         0.2360          No
13                2.2675e+04          24074.6763         300000         0.2330          No
14                4.3965e+04          45364.7301         300000         0.2260          No
15                1.0123e+04          11522.5692         300000         0.2360          No
16                7.2015e+03           8601.4769         300000         0.2360          No
17                8.1811e+03           9581.0779         300000         0.2360          No
18                1.2652e+05         127916.5680         300000         0.2360          No
19                1.5320e+03           2931.9733         300000         0.2340          No
20                2.3680e+04          25079.7423         300000         0.2340          No
21                1.2134e+05         122739.1718         300000         0.2350          No
22                3.6137e+04          37537.3566         300000         0.2360          No
23                5.0573e+04          51972.7939         300000         0.2290          No
24                1.2071e+05         122105.3674         300000         0.2360          No
25                4.0425e+04          41824.8081         300000         0.2340          No
26                5.5557e+04          56957.1969         300000         0.2340          No
27                2.0693e+04          22093.0422         300000         0.2360          No
28                9.3296e+04          94695.8703         300000         0.2340          No
29                2.3073e+04          24473.1067         300000         0.2350          No
30                3.1350e+04          32750.0697         300000         0.2320          No
31                3.2009e+05         321485.4398         300000         0.2340          No
32                4.7703e+03           6170.2940         300000         0.2350          No
33                4.1093e+04          42493.4769         300000         0.2360          No
34                1.4397e+04          15797.0568         300000         0.2350          No
35                2.3818e+04          25218.1991         300000         0.2360          No
36                4.0752e+04          42151.7193         300000         0.2350          No
37                2.1236e+04          22635.9203         300000         0.2360          No
38                7.2177e+04          73576.9599         300000         0.2360          No
39                3.5353e+04          36752.7916         300000         0.2330          No
40                6.5080e+04          66480.0420         300000         0.2360          No
41                9.9821e+04         101221.3852         300000         0.2360          No
42                4.1500e+04          42900.2602         300000         0.2360          No
43                3.9430e+04          40830.3982         300000         0.2370          No
44                9.9637e+04         101036.8393         300000         0.2350          No
45                4.9547e+04          50947.4766         300000         0.2350          No
46                3.4556e+04          35955.8427         300000         0.2330          No
47                1.0185e+04          11585.3836         300000         0.2340          No
48                5.3222e+04          54621.5232         300000         0.2320          No
49                1.3280e+05         134198.6384         300000         0.2350          No
50                5.4076e+04          55476.4494         300000         0.2350          No
51                2.2867e+04          24266.7743         300000         0.2340          No
----------------------------------------------------------------------------------------------------
