
========================================================================================================================
F27 - HCLPSO-DC (D=30)
========================================================================================================================

Run                  Error           Fitness           CFEs     CTs (s)   Converged
-------------------------------------------------------------------------------------
1             5.337261e+02       3233.726140          36840      0.1150         Yes
2               5.2281e+02         3222.8058          37920      0.1170         Yes
3               5.4222e+02         3242.2243         300000      0.7840          No
4               5.2827e+02         3228.2688          29880      0.0960         Yes
5               5.3265e+02         3232.6510          83400      0.2390         Yes
6               5.2902e+02         3229.0229          61320      0.1810         Yes
7               5.5687e+02         3256.8746         300000      0.8090          No
8               5.2927e+02         3229.2720          56200      0.1670         Yes
9               5.2378e+02         3223.7798          39920      0.1220         Yes
10              5.2630e+02         3226.3019          15120      0.0480         Yes
11              5.4325e+02         3243.2503         300000      0.7710          No
12              5.3327e+02         3233.2693          35480      0.1060         Yes
13              5.2794e+02         3227.9355          77240      0.2290         Yes
14              5.6277e+02         3262.7691         300000      0.8590          No
15              5.3614e+02         3236.1361          31920      0.0980         Yes
16              5.3457e+02         3234.5730          44480      0.1330         Yes
17              5.4304e+02         3243.0351         300000      0.7720          No
18              5.5814e+02         3258.1438         300000      0.8140          No
19              5.3008e+02         3230.0818          34640      0.1040         Yes
20              5.3305e+02         3233.0473          48200      0.1450         Yes
21              5.2357e+02         3223.5653          12840      0.0380         Yes
22              5.3444e+02         3234.4445          42960      0.1270         Yes
23              5.3172e+02         3231.7239          31600      0.0950         Yes
24              5.5432e+02         3254.3156         300000      0.7980          No
25              5.3243e+02         3232.4254          25880      0.0760         Yes
26              5.4319e+02         3243.1875         300000      0.7670          No
27              5.2448e+02         3224.4756          16280      0.0470         Yes
28              5.3726e+02         3237.2637         199560      0.5340         Yes
29              5.4749e+02         3247.4873         300000      0.7710          No
30              5.3626e+02         3236.2599          54280      0.1640         Yes
31              5.1804e+02         3218.0419          37000      0.1140         Yes
32              5.1579e+02         3215.7901          20080      0.0590         Yes
33              5.4521e+02         3245.2064         300000      0.8120          No
34              5.4482e+02         3244.8153         300000      0.7740          No
35              5.2469e+02         3224.6937          23080      0.0680         Yes
36              5.2582e+02         3225.8196          24520      0.0740         Yes
37              5.0774e+02         3207.7375          11960      0.0360         Yes
38              5.4092e+02         3240.9182         300000      0.7680          No
39              5.1797e+02         3217.9704          33040      0.0990         Yes
40              5.3770e+02         3237.7027          91600      0.2610         Yes
41              5.4118e+02         3241.1798         300000      0.8340          No
42              5.2341e+02         3223.4101          20920      0.0640         Yes
43              5.4264e+02         3242.6430         300000      0.7770          No
44              5.3996e+02         3239.9564         148840      0.4100         Yes
45              5.6547e+02         3265.4701         300000      0.7840          No
46              5.4482e+02         3244.8208         300000      0.7780          No
47              5.3822e+02         3238.2223         123840      0.3490         Yes
48              5.3785e+02         3237.8532          58400      0.1780         Yes
49              5.4263e+02         3242.6321         300000      0.8070          No
50              5.3548e+02         3235.4769          93880      0.2660         Yes
51              5.2558e+02         3225.5831          23400      0.0700         Yes
-------------------------------------------------------------------------------------
