
========================================================================================================================
HCLPSO-OC Accuracy Results (D=30, Runs=51, εtol=20.000000%)
========================================================================================================================

Function                Mean               Std            Median              Best             Worst
------------------------------------------------------------------------------------------------------------------------
F1                5.4948e+07        2.5048e+08        5.2899e+03        5.3820e+02        1.3759e+09
F3                8.4705e+04        4.1777e+04        7.8904e+04        1.5117e+04        1.9208e+05
F4                1.0545e+02        3.3724e+01        9.0314e+01        6.2354e+01        2.4283e+02
F5                1.3026e+02        2.9363e+01        1.3088e+02        5.9697e+01        2.1628e+02
F6                8.2021e-01        1.4279e+00        2.4006e-01        3.0561e-04        6.2311e+00
F7                1.2302e+02        4.6931e+01        1.1280e+02        5.9682e+01        3.4386e+02
F8                1.4183e+02        3.2933e+01        1.4118e+02        5.9985e+01        2.2054e+02
F9                9.0137e+00        1.6632e+01        3.2631e+00        1.7906e-01        7.2513e+01
F10               4.7773e+03        7.5377e+02        4.7978e+03        3.4172e+03        6.1410e+03
F11               1.6702e+02        6.3120e+01        1.5211e+02        3.5900e+01        3.5623e+02
F12               7.1739e+06        3.0599e+07        7.6026e+05        2.8002e+04        2.2129e+08
F13               4.3627e+04        3.3209e+04        4.1914e+04        6.7724e+03        1.3196e+05
F14               3.4826e+04        3.2873e+04        2.4311e+04        4.0444e+03        1.4810e+05
F15               3.7380e+04        9.6533e+03        3.8695e+04        4.4424e+03        6.3559e+04
F16               9.7991e+02        3.1878e+02        9.9538e+02        2.3747e+02        1.7129e+03
F17               4.0185e+02        1.3613e+02        3.9722e+02        1.4457e+02        7.4506e+02
F18               5.8393e+05        3.8592e+05        5.5107e+05        3.5599e+04        1.9174e+06
F19               3.5008e+04        3.4081e+04        1.5879e+04        8.2528e+02        1.7806e+05
F20               3.9046e+02        1.6425e+02        3.6371e+02        8.0005e+01        8.2356e+02
F21               3.4304e+02        3.5861e+01        3.4035e+02        2.7633e+02        4.3421e+02
F22               3.2626e+03        2.2180e+03        4.2721e+03        1.0000e+02        6.2329e+03
F23               5.0965e+02        3.4760e+01        5.0435e+02        4.4183e+02        6.2960e+02
F24               5.9184e+02        3.1888e+01        5.8841e+02        5.2459e+02        6.5125e+02
F25               3.9388e+02        1.5897e+01        3.8865e+02        3.8682e+02        4.7300e+02
F26               2.7284e+03        3.0273e+02        2.6780e+03        2.1013e+03        3.6534e+03
F27               5.4536e+02        2.2664e+01        5.4170e+02        5.0999e+02        6.1164e+02
F28               1.0341e+03        1.0038e+03        6.2518e+02        4.5646e+02        3.9207e+03
F29               1.0181e+03        2.6409e+02        9.9889e+02        5.4999e+02        1.6873e+03
F30               5.6683e+04        1.2715e+05        2.1837e+04        5.0649e+03        7.8716e+05
========================================================================================================================
