
============================================================================================================================================
TABLE: CONVERGENCE SPEED - HCLPSO-DC (D=50)
Population: N=40 | Runs: 51 | MaxFE: 500000 | εtol: 30.00%
============================================================================================================================================
Function             Mean CFEs          Std CFEs      Success Rate      Mean CTs (s)       Std CTs (s)
--------------------------------------------------------------------------------------------------------------------------------------------
F1                      500000                 0               0.0%            0.5584            0.0094
F3                      500000                 0               0.0%            0.5717            0.0073
F4                      500000                 0               0.0%            0.6103            0.0048
F5                      500000                 0               0.0%            0.7335            0.0078
F6                          80                 0             100.0%            0.0000            0.0001
F7                      422709            101612              41.2%            0.6290            0.1569
F8                      473416             77288              11.8%            0.6915            0.1146
F9                      434793            102240              29.4%            0.6373            0.1523
F10                     500000                 0               0.0%            1.0970            0.0308
F11                     357842            111102              64.7%            0.4531            0.1457
F12                     500000                 0               0.0%            0.7018            0.0436
F13                     500000                 0               0.0%            0.6428            0.0080
F14                     500000                 0               0.0%            0.7625            0.0077
F15                     500000                 0               0.0%            0.6017            0.0036
F16                     500000                 0               0.0%            0.7484            0.0155
F17                     500000                 0               0.0%            1.1082            0.0116
F18                     500000                 0               0.0%            0.6437            0.0038
F19                     500000                 0               0.0%            4.6086            0.0613
F20                     500000                 0               0.0%            1.1366            0.0111
F21                     197765             70705              98.0%            0.6657            0.2401
F22                     492934             49963               2.0%            2.4873            0.2579
F23                     500000                 0               0.0%            2.6903            0.0387
F24                     500000                 0               0.0%            2.5676            0.0485
F25                     131732             40670             100.0%            0.7121            0.2145
F26                     500000                 0               0.0%            3.3665            0.0799
F27                     460569            120198               9.8%            3.0983            0.7891
F28                     463097            112077               9.8%            2.9436            0.6910
F29                     500000                 0               0.0%            2.1719            0.0467
F30                     500000                 0               0.0%            5.3215            0.1440
--------------------------------------------------------------------------------------------------------------------------------------------
============================================================================================================================================
