Function F17 - HCLPSO-OC (D=50)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               2.897584e+03         4597.584303         500000         1.2050          No
2                 1.8645e+03           3564.4964         500000         1.2380          No
3                 1.9599e+03           3659.9017         500000         1.2110          No
4                 1.6705e+03           3370.5205         500000         1.2300          No
5                 1.8013e+03           3501.2704         500000         1.2050          No
6                 1.3289e+03           3028.8682         500000         1.2220          No
7                 1.2594e+03           2959.4090         500000         1.2020          No
8                 1.0757e+03           2775.6752         500000         1.2050          No
9                 1.6034e+03           3303.3895         500000         1.2050          No
10                2.0257e+03           3725.7192         500000         1.1990          No
11                2.0520e+03           3752.0435         500000         1.1860          No
12                1.0798e+03           2779.8411         500000         1.1820          No
13                1.4285e+03           3128.4863         500000         1.2120          No
14                1.2036e+03           2903.5829         500000         1.2280          No
15                1.4060e+03           3106.0327         500000         1.1670          No
16                2.4544e+03           4154.4027         500000         1.2340          No
17                1.1716e+03           2871.6397         500000         1.2180          No
18                1.8030e+03           3503.0127         500000         1.2150          No
19                1.7225e+03           3422.5221         500000         1.2150          No
20                1.8896e+03           3589.6041         500000         1.1560          No
21                1.5840e+03           3284.0455         500000         1.1680          No
22                1.6076e+03           3307.5627         500000         1.2170          No
23                2.1128e+03           3812.7975         500000         1.1550          No
24                1.8655e+03           3565.4862         500000         1.2220          No
25                1.6389e+03           3338.9146         500000         1.2550          No
26                1.2883e+03           2988.3020         500000         1.1710          No
27                1.0010e+03           2701.0385         500000         1.1550          No
28                1.5651e+03           3265.1419         500000         1.1940          No
29                2.2128e+03           3912.7635         500000         1.1840          No
30                1.2856e+03           2985.5722         500000         1.1840          No
31                1.7328e+03           3432.8369         500000         1.2250          No
32                1.6422e+03           3342.2142         500000         1.1890          No
33                1.0449e+03           2744.8727         500000         1.1830          No
34                1.6608e+03           3360.7787         500000         1.1770          No
35                1.6316e+03           3331.6193         500000         1.2270          No
36                2.1243e+03           3824.2755         500000         1.2260          No
37                1.2831e+03           2983.0679         500000         1.2330          No
38                1.7849e+03           3484.9266         500000         1.1510          No
39                1.3848e+03           3084.8068         500000         1.2130          No
40                1.3245e+03           3024.5449         500000         1.1640          No
41                1.6695e+03           3369.5119         500000         1.1800          No
42                1.5859e+03           3285.9134         500000         1.2340          No
43                1.5656e+03           3265.5663         500000         1.2020          No
44                1.2271e+03           2927.0565         500000         1.1850          No
45                1.7525e+03           3452.5396         500000         1.1810          No
46                1.7526e+03           3452.6430         500000         1.1880          No
47                1.2688e+03           2968.8162         500000         1.1790          No
48                1.4809e+03           3180.9124         500000         1.1640          No
49                1.6346e+03           3334.6250         500000         1.2170          No
50                1.6639e+03           3363.9089         500000         1.1990          No
51                2.1318e+03           3831.7714         500000         1.2160          No
----------------------------------------------------------------------------------------------------
